time,ra.x1,ra.x2,ra.x3,ra.x4,ra.x5,ra.x6
508,2.99,0,0,1.93,0,4.86
509,2.99,0,0,1.93,0,4.86
510,2.98,0,0,1.93,0,4.86
511,2.98,0,0,1.93,0,4.86
512,2.98,0,0,1.92,0,4.86
513,2.98,0,0,1.92,0,4.85
514,2.98,0,0,1.92,0,4.85
515,2.97,0,0,1.92,0,5.25
516,2.97,0,0,1.91,0,5.36
517,2.97,0,0,1.91,0,5.35
518,3.36,0,0,1.91,0,5.35
519,3.35,0,0,1.91,0,5.35
520,3.35,0,0,1.91,0,5.35
521,3.37,0,0,1.9,0,5.35
522,3.4,0,0,1.9,0,5.34
523,3.4,0,0,1.9,0,5.34
524,3.39,0,0,1.9,0,5.34
525,3.39,0,0,1.89,0,5.33
526,3.39,0,0,1.89,0,5.33
527,3.39,0,0,1.89,0,5.33
528,3.38,0,0,1.89,0,5.33
529,3.38,0,0,1.88,0,5.33
530,3.38,0,0,1.89,0,5.33
531,3.38,0,0,1.88,0,5.32
532,3.37,0,0,2.65,0,5.32
533,3.37,0,0,2.67,0,5.32
534,3.37,0,0,2.67,0,5.31
535,3.37,0,0,2.7,0,5.31
536,3.37,0,0,2.69,0,5.31
537,3.36,0,0,2.69,0,5.31
538,3.36,0,0,2.69,0,5.3
539,3.36,0,0,2.68,0,5.3
540,3.36,0,0,2.68,0,5.3
541,3.35,0,0,2.68,0,5.29
542,3.35,0,0,2.68,0,5.29
543,3.35,0,0,2.67,0,5.29
544,3.35,0,0,2.67,0,5.29
545,3.35,0,0,2.67,0,5.29
546,3.34,0,0,2.67,0,5.28
547,3.34,0,0,2.67,0,5.28
548,3.34,0,0,2.66,0,5.28
549,3.34,0,0,2.66,0,5.28
550,3.34,0,0,2.66,0,5.27
551,3.33,0,0,2.65,0,5.27
552,3.33,0,0,2.65,0,5.27
553,3.33,0,0,2.94,0,5.27
554,3.32,0,0,2.94,0,5.26
555,3.32,0,0,2.93,0,5.26
556,3.32,0,0,2.93,0,5.26
557,3.32,0,0,2.93,0,5.26
558,3.32,0,0,2.93,0,5.26
559,3.32,0,0,2.92,0,5.25
560,3.31,0,0,2.92,0,5.25
561,3.31,0,0,2.92,0,5.25
562,3.31,0,0,2.92,0,5.25
563,3.31,0,0,2.91,0,5.24
564,3.31,0,0,2.91,0,5.24
565,3.3,0,0,2.91,0,5.24
566,3.3,0,0,2.91,0,5.24
567,3.3,0,0,2.9,0,5.23
568,3.3,0,0,2.9,0,5.23
569,3.29,0,0,2.9,0,5.23
570,3.29,0,0,2.9,0,5.23
571,3.29,0,0,2.9,0,5.22
572,3.29,0,0,2.89,0,5.22
573,3.29,0,0,2.89,0,5.22
574,3.29,0,0,2.89,0,5.22
575,3.28,0,0,2.88,0,5.22
576,3.28,0,0,2.88,0,5.21
577,3.28,0,0,2.88,0,5.21
578,3.27,0,0,2.88,0,5.21
579,3.28,0,0,2.88,0,5.21
580,3.27,0,0,2.88,0,5.21
581,3.27,0,0,2.87,0,5.2
582,3.27,0,0,2.87,0,5.2
583,3.27,0,0,2.86,0,5.2
584,3.26,0,0,2.86,0,5.2
585,3.26,0,0,2.86,0,5.19
586,3.26,0,0,2.86,0,5.19
587,3.26,0,0,2.85,0,5.19
588,3.26,0,0,2.85,0,5.19
589,3.25,0,0,2.85,0,5.19
590,3.25,0,0,2.85,0,5.18
591,3.25,0,0,2.84,0,5.18
592,3.25,0,0,2.84,0,5.18
593,3.25,0,0,2.84,0,5.18
